Binned_average_and_predicted_spectra_for_passive_gases,,,,,,2004 data,,file: eddypro_CP_Burba_Ibrom_QC_passive_gases_ensemble_spectra_2014-08-29T034630.csv,
,n_=_1378,,,n_=_0,,,n_=_0,,
nat_freq,avrg_sp(T),avrg_sp(co2),pred_sp(co2),avrg_sp(T),avrg_sp(ch4),pred_sp(ch4),avrg_sp(T),avrg_sp(none),pred_sp(none)
0.000635772705078111,0.174302731663564,0.105993355159804,0.269510219315467,-9999,-9999,-9999,-9999,-9999,-9999
0.00127154541015622,0.17053437783892,0.109744530431309,0.263678916451173,-9999,-9999,-9999,-9999,-9999,-9999
0.00190731811523438,0.131547565939424,0.107720330999776,0.203391897580484,-9999,-9999,-9999,-9999,-9999,-9999
0.00254309082031244,0.114684029332914,0.117552912148694,0.177311167532855,-9999,-9999,-9999,-9999,-9999,-9999
0.00317886352539056,0.104744155325708,0.118258407660385,0.161934807077196,-9999,-9999,-9999,-9999,-9999,-9999
0.00381463623046876,0.0990513876339036,0.124288246397559,0.153123971722783,-9999,-9999,-9999,-9999,-9999,-9999
0.00445040893554697,0.10090958391237,0.135200203597988,0.155984770572068,-9999,-9999,-9999,-9999,-9999,-9999
0.00540406799316417,0.100922555716463,0.14243131542115,0.155983729281597,-9999,-9999,-9999,-9999,-9999,-9999
0.00667561340332042,0.0986717018495007,0.147286604949146,0.152471164398004,-9999,-9999,-9999,-9999,-9999,-9999
0.00794715881347646,0.0999890628138581,0.151292011792068,0.154465487937434,-9999,-9999,-9999,-9999,-9999,-9999
0.00953659057617176,0.103619877611219,0.167187340957623,0.160010515325206,-9999,-9999,-9999,-9999,-9999,-9999
0.0117617950439452,0.109549976191923,0.182398035155905,0.169052647333382,-9999,-9999,-9999,-9999,-9999,-9999
0.0143048858642579,0.113945586761766,0.189843367411813,0.175668482351417,-9999,-9999,-9999,-9999,-9999,-9999
0.0174837493896478,0.11832051318854,0.200515258834103,0.182149102841372,-9999,-9999,-9999,-9999,-9999,-9999
0.021298385620117,0.12036674113877,0.204694793426641,0.18490717781721,-9999,-9999,-9999,-9999,-9999,-9999
0.0257487945556643,0.120480743810227,0.203195598679049,0.18452981307587,-9999,-9999,-9999,-9999,-9999,-9999
0.0314707489013674,0.119396448136921,0.196393951276751,0.182019448556433,-9999,-9999,-9999,-9999,-9999,-9999
0.0384642486572271,0.114278800905305,0.185239334879258,0.173016774189525,-9999,-9999,-9999,-9999,-9999,-9999
0.0467292938232409,0.105212699993143,0.164277414385343,0.157725645142164,-9999,-9999,-9999,-9999,-9999,-9999
0.0569016571044909,0.095072624725868,0.143929472900927,0.14045832482173,-9999,-9999,-9999,-9999,-9999,-9999
0.0692992248535138,0.087192034737887,0.125580802976703,0.126102417941155,-9999,-9999,-9999,-9999,-9999,-9999
0.084239883422853,0.0788785246845412,0.10773008923757,0.110661380827584,-9999,-9999,-9999,-9999,-9999,-9999
0.102677291870119,0.0697296529648412,0.0913842944657665,0.0936129949340137,-9999,-9999,-9999,-9999,-9999,-9999
0.124929336547854,0.0640391235930151,0.0778734500466327,0.0808557874310642,-9999,-9999,-9999,-9999,-9999,-9999
0.151949676513674,0.0577252129560052,0.0647439514465136,0.0669932518954987,-9999,-9999,-9999,-9999,-9999,-9999
0.185327743530278,0.0525116452834908,0.0532311274410245,0.0543345961819259,-9999,-9999,-9999,-9999,-9999,-9999
0.225699310302731,0.0471520444283446,0.0429844364912696,0.0420657269637874,-9999,-9999,-9999,-9999,-9999,-9999
0.274653808593753,0.0432449187733466,0.0333156260731128,0.0320588765367628,-9999,-9999,-9999,-9999,-9999,-9999
0.334416442871089,0.0393509419607858,0.0234416380150472,0.0233156333195667,-9999,-9999,-9999,-9999,-9999,-9999
0.407212417602532,0.0350700023833652,0.0154642349140595,0.0160115451670092,-9999,-9999,-9999,-9999,-9999,-9999
0.495902709960929,0.0316376317929209,0.00848197400383166,0.010776180190033,-9999,-9999,-9999,-9999,-9999,-9999
0.603666183471666,0.0284040469002503,0.00432820300332513,0.00703264513266341,-9999,-9999,-9999,-9999,-9999,-9999
0.734635360717783,0.0256229734715484,0.00204531217571887,0.00451868387089202,-9999,-9999,-9999,-9999,-9999,-9999
0.894214309692397,0.0231306629203871,0.00209166709239012,0.00285916038302723,-9999,-9999,-9999,-9999,-9999,-9999
1.0887607574463,0.0208534799886689,0.0101525163462087,0.00178523662308458,-9999,-9999,-9999,-9999,-9999,-9999
1.32558609008788,0.018782146195048,0.000437907289548722,0.00110460510024778,-9999,-9999,-9999,-9999,-9999,-9999
1.61390901184084,0.0171320620012795,0.0002748641794696,0.000688236395293212,-9999,-9999,-9999,-9999,-9999,-9999
1.96517343139653,0.015679839072463,0.00676414392637202,0.000428464388004464,-9999,-9999,-9999,-9999,-9999,-9999
2.39273057556148,0.014496206126194,-0.0015448494872076,0.000268748919114592,-9999,-9999,-9999,-9999,-9999,-9999
2.9131105346679,0.0139676316474222,0.00184242985773765,0.000175382527821976,-9999,-9999,-9999,-9999,-9999,-9999
3.5466580352783,0.0138287009268863,0.0366232120074118,0.000117454373968936,-9999,-9999,-9999,-9999,-9999,-9999
4.31785032653806,0.0146736634135367,0.002172112650949,0.0000842377166434896,-9999,-9999,-9999,-9999,-9999,-9999
5.25688661193837,0.013650560367737,-0.002107586551605,0.0000529323751672561,-9999,-9999,-9999,-9999,-9999,-9999
6.40000593566882,0.0155947814188889,-0.00376641372297619,0.0000408320443098195,-9999,-9999,-9999,-9999,-9999,-9999
7.79171238708481,0.0235530928699586,0.00549398564290803,0.0000416297706468976,-9999,-9999,-9999,-9999,-9999,-9999
